Symbol,ConId
AAPL,265598
ABNB,459530964
ABT,4065
ADBE,265768
ADJI,
ADP,4661
AEP,4211
AMAT,266093
AMD,4391
AMED,
AMGN,266145
AMZN,3691937
ANET,740948854
ASML,117902840
AVGO,313130367
AXON,272104927
BIIB,26734397
BKNG,308728373
BR,43523793
CDNS,5552
CEG,538132976
CMCSA,267748
COST,272997
CRWD,370757467
CSCO,268084
CSGP,6726677
CSX,6150
CTAS,268149
CTSH,4728759
DASH,459309417
DXCM,33837089
ENPH,105368327
EXC,11000
FANG,115441080
FAST,269120
FTI,262072228
FTNT,70236214
GEHC,601776309
GEVV,
GFS,523222624
GILD,269753
GOOG,208813720
GOOGL,208813719
GOOY,645366618
HON,892744244
IDXX,270413
INTC,270639
INTU,270662
JNJ,8719
KDP,324057162
KHC,199169586
KLA,
KLAC,270957
KMI,83975037
LULU,45157951
MCHP,271568
MELI,45602025
META,107113386
MNST,196986496
MRVL,483492393
MSCI,47101335
MSFT,272093
MTCH,430252818
MTD,6477908
NDSN,272314
NFLX,15124833
NVDA,4815747
ODFL,272667
OKTA,272356196
ON,8677881
ONON,513880603
ORLY,82457808
PANW,110619459
PAYX,272942
PCG,2586035
PDD,326398585
PEP,11017
QCOM,273544
ROST,273939
SIVB,
SNPS,274499
SRE,11020
TEAM,589316251
TFC,393460310
TMUS,125980227
TSLA,76792991
TTD,248755440
TXN,13096
VRSK,69293559
VRTX,275850
VST,254457731
WAB,661633
WBD,554208351
XEL,10517
ZSC,646984633
