Symbol,ConId,Squeeze_on,Momentum_Direction,BB_Upper,KC_Upper,BB_Lower,KC_Lower,ATR,Momentum_Value,Recent_Close
AMD,4391,True,up,591.0048,601.144,460.2672,450.128,37.754,28.05,"[517.82, 552.05, 516.11, 517.4, 545.87]"
AMZN,3691937,True,up,252.694,255.655,226.666,223.705,7.9875,1.48,"[242.67, 244.16, 245.98, 243.62, 244.15]"
ANET,740948854,True,up,185.7561,185.7715,147.3069,147.2915,9.62,24.61,"[159.99, 173.28, 166.46, 181.05, 184.6]"
ASML,117902840,True,up,2006.2276,2035.1365,1668.7014,1639.7925,98.836,56.5,"[1769.32, 1825.07, 1747.28, 1768.65, 1825.82]"
AVGO,313130367,True,up,413.1438,415.1265,350.0372,348.0545,16.768,45.08,"[360.45, 373.9, 370.78, 388.69, 405.53]"
CDNS,5552,True,up,398.2807,407.4345,362.0623,352.9085,13.6315,11.32,"[373.14, 375.77, 371.06, 374.06, 384.46]"
CMCSA,267748,True,down,25.0622,25.096,21.7578,21.724,0.843,-0.67,"[23.79, 23.38, 23.41, 23.19, 23.12]"
EXC,11000,True,down,48.2548,48.435,44.8932,44.713,0.9305,-1.29,"[47.88, 47.05, 47.57, 47.28, 46.59]"
GEHC,601776309,True,down,67.6097,67.913,60.6263,60.323,1.8975,-1.21,"[65.56, 64.84, 64.89, 64.68, 64.35]"
GOOG,208813720,True,down,378.1594,378.771,333.0486,332.437,11.5835,-2.6,"[356.18, 364.9, 363.62, 358.71, 353.58]"
GOOGL,208813719,True,down,380.8121,381.3715,334.6669,334.1075,11.816,-3.12,"[359.91, 366.46, 367.03, 361.92, 356.79]"
IDXX,270413,True,up,583.8504,589.2245,523.9646,518.5905,17.6585,2.15,"[557.8, 564.98, 570.25, 555.67, 559.95]"
INTU,270662,True,down,291.223,293.937,249.217,246.503,11.8585,-3.74,"[275.35, 272.14, 281.17, 272.1, 271.61]"
KMI,83975037,True,up,33.406,33.504,30.762,30.664,0.71,0.4,"[32.06, 31.69, 32.49, 32.48, 32.46]"
LULU,45157951,True,down,123.8898,124.44,105.6962,105.146,4.8235,-2.05,"[118.43, 115.64, 115.07, 113.62, 116.38]"
ONON,513880603,True,up,40.0437,40.2645,34.0973,33.8765,1.597,0.42,"[36.83, 36.87, 36.62, 36.38, 37.25]"
PCG,2586035,True,up,17.5359,17.5975,16.2211,16.1595,0.3595,0.11,"[17.05, 16.82, 17.18, 17.05, 17.16]"
PEP,11017,True,down,148.7806,149.3725,135.5004,134.9085,3.616,-5.89,"[144.22, 143.29, 144.98, 142.51, 138.33]"
SNPS,274499,True,up,474.378,484.681,428.47,418.167,16.6285,2.8,"[437.16, 442.27, 436.63, 434.5, 439.96]"
TSLA,76792991,True,up,435.8135,437.1465,363.1055,361.7725,18.8435,10.95,"[393.45, 419.77, 402.9, 394.06, 404.4]"
TTD,248755440,True,up,20.2346,20.65,17.1434,16.728,0.9805,0.42,"[19.1, 19.31, 19.18, 19.07, 19.52]"
TXN,13096,True,up,332.1666,333.682,272.4474,270.932,15.6875,18.89,"[293.08, 303.5, 293.3, 301.32, 311.97]"
WBD,554208351,True,down,27.5044,27.5565,25.7466,25.6945,0.4655,-0.13,"[26.48, 26.12, 26.12, 26.15, 26.35]"
